Analysis Name,Condition,pH,EC(S) (uS/cm),P (ppm),K (ppm),Ca (ppm),Mg (ppm),Mn (ppm),S (ppm),Cu (ppm),B (ppm),Zn (ppm),Na (ppm),Fe (ppm),C.E.C (meq/100g),N (%),T-C (%),%Sand (%),%Silt (%),%Clay (%),Ca% (%),Mg% (%),K% (%),Na% (%),OB% (%),H% (%),Ca:Mg (%),Latitude,Longitude,Region,Texture,Recommandation
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.34,25.9,6.91,48.2,225.0,49.3,14.7,3.7,0.22,0.17,0.41,16.1,39.6,2.03,0.021,0.21,95.0,3.92,1.08,55.3,20.2,6.08,3.44,5.06,9.9,2.74,15.49919,-16.22574,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.96,13.0,4.5,44.7,245.0,50.4,15.2,3.06,0.27,0.19,0.29,15.2,47.7,2.33,0.02,0.22,95.0,3.92,1.08,52.6,18.0,4.92,2.84,5.48,16.2,2.92,15.49919,-16.22574,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.78,21.7,11.0,16.1,484.0,90.6,23.9,4.62,0.39,0.11,0.27,16.5,50.1,4.53,0.013,0.16,93.9,4.64,1.44,53.4,16.7,0.91,1.58,5.84,21.6,3.21,15.48926,-16.22476,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.35,42.9,12.1,16.4,300.0,56.5,15.1,4.66,0.24,0.11,0.50,12.0,37.3,2.42,< 0.01,0.14,93.9,4.64,1.44,61.9,19.4,1.73,2.15,5.05,9.75,3.19,15.48926,-16.22476,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.37,67.9,10.8,4.07,129.0,28.8,13.8,3.0,< 0.20,0.066,0.30,8.16,28.3,1.57,< 0.01,0.08,93.0,5.05,1.95,41.2,15.3,0.67,2.27,6.66,33.9,2.69,15.49937,-16.22939,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.94,16.4,10.7,8.10,141.0,31.6,14.0,3.25,0.23,0.11,0.63,10.4,30.2,1.33,< 0.01,0.091,89.6,8.46,1.98,52.9,19.8,1.56,3.4,5.52,16.8,2.68,15.49937,-16.22939,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.91,24.5,6.97,64.9,169.0,57.0,9.84,5.16,0.21,0.28,1.08,15.9,46.8,2.03,0.045,0.47,94.6,4.64,0.72,41.7,23.4,8.21,3.41,5.58,17.7,1.78,15.37976,-16.49816,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.39,72.3,14.3,60.8,286.0,63.1,20.1,6.96,0.27,0.30,1.48,14.2,42.8,2.53,0.041,0.42,95.0,3.92,1.08,56.5,20.8,6.16,2.44,5.01,9.15,2.72,15.37976,-16.49816,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.4,30.6,6.25,46.2,93.5,24.9,7.3,4.17,0.23,0.22,0.31,12.0,35.9,1.4,0.021,0.21,95.0,4.28,0.72,33.4,14.8,8.46,3.73,6.6,33.0,2.25,15.37925,-16.50071,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.27,109.0,8.47,91.3,116.0,40.3,9.56,8.81,0.23,0.26,0.80,18.3,28.6,1.47,0.022,0.24,95.4,3.92,0.72,39.6,22.9,16.0,5.43,5.13,10.9,1.73,15.37925,-16.50071,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.13,43.7,4.56,73.6,123.0,36.6,10.9,2.71,0.29,0.21,0.35,8.76,21.9,1.4,0.013,0.13,95.0,3.92,1.08,43.8,21.7,13.4,2.71,5.27,13.1,2.02,15.3783,-16.49399,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.83,18.6,3.82,56.4,117.0,32.9,8.92,2.93,0.38,0.23,0.45,12.2,29.7,1.43,0.051,0.52,95.0,3.92,1.08,41.1,19.2,10.1,3.72,5.74,20.1,2.13,15.3783,-16.49399,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.69,52.4,14.4,70.8,136.0,33.1,9.72,3.49,0.30,0.17,0.97,10.2,31.2,1.7,0.015,0.17,95.4,3.56,1.08,40.1,16.3,10.7,2.61,6.02,24.3,2.47,15.37994,-16.50792,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.4,15.8,10.8,67.4,97.2,25.6,5.17,4.17,0.35,0.17,0.34,10.6,38.6,1.52,0.012,0.11,95.4,3.56,1.08,32.0,14.0,11.4,3.03,6.6,33.0,2.28,15.37994,-16.50792,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.55,13.1,4.07,45.3,105.0,29.4,9.1,3.31,0.23,0.14,0.31,9.35,27.1,1.42,0.011,0.12,94.5,3.51,2.03,36.9,17.2,8.17,2.86,6.3,28.5,2.14,15.35947,-16.51453,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.9,27.6,5.94,61.0,133.0,33.9,10.3,4.1,0.21,0.16,0.47,21.0,22.7,1.56,0.015,0.17,94.0,3.62,2.33,42.5,18.1,10.0,5.84,5.6,18.0,2.35,15.35947,-16.51453,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.65,16.4,2.12,45.7,147.0,32.2,14.7,3.35,0.22,0.12,0.28,9.04,32.9,1.7,0.011,0.12,95.0,3.92,1.08,43.3,15.8,6.91,2.32,6.1,25.5,2.74,15.35339,-16.50369,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.79,23.5,3.9,45.7,135.0,34.4,16.2,2.89,0.29,0.16,0.61,9.51,33.1,1.54,0.012,0.13,95.0,3.92,1.08,43.9,18.7,7.62,2.69,5.82,21.3,2.35,15.35339,-16.50369,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.15,12.8,6.48,63.1,88.0,24.0,4.31,3.21,0.26,0.17,0.44,19.5,51.5,1.69,< 0.01,0.076,95.0,3.92,1.08,26.0,11.8,9.56,5.01,7.1,40.5,2.2,15.51985,-16.39748,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.59,12.5,8.24,47.8,123.0,28.5,5.06,2.86,0.28,0.16,0.52,10.0,38.1,1.53,< 0.01,0.085,95.4,3.56,1.08,40.1,15.5,8.0,2.84,6.22,27.3,2.59,15.51985,-16.39748,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.26,23.6,8.61,57.6,126.0,31.8,7.79,3.14,0.34,0.16,1.53,14.6,33.7,1.98,< 0.01,0.1,95.0,3.92,1.08,31.8,13.4,7.47,3.21,6.88,37.2,2.38,15.52883,-16.3853,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.08,12.6,4.24,43.0,98.7,28.0,5.47,4.01,0.32,0.16,0.58,10.1,42.1,1.76,< 0.01,0.091,95.0,3.92,1.08,28.1,13.3,6.28,2.5,7.24,42.6,2.12,15.52883,-16.3853,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.09,31.4,13.3,58.9,190.0,46.3,15.1,3.05,0.38,0.22,0.85,18.9,36.4,1.93,< 0.01,0.094,95.0,3.92,1.08,49.1,20.0,7.81,4.25,5.22,13.7,2.46,15.53245,-16.38278,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.38,18.3,5.86,49.3,135.0,37.8,8.78,3.43,0.35,0.18,0.62,12.8,37.5,1.96,< 0.01,0.095,95.0,3.92,1.08,34.4,16.1,6.45,2.84,6.64,33.6,2.14,15.53245,-16.38278,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.21,44.3,18.3,87.5,179.0,37.0,8.32,3.03,0.42,0.17,2.02,15.8,40.4,2.75,0.01,0.11,95.0,4.28,0.72,32.5,11.2,8.14,2.49,6.98,38.7,2.9,15.52556,-16.38792,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.07,21.2,15.4,104,196.0,38.5,10.3,2.61,0.39,0.16,1.02,16.1,35.2,2.03,< 0.01,0.11,95.0,3.92,1.08,48.4,15.8,13.2,3.45,5.26,13.9,3.05,15.52556,-16.38792,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.75,45.6,193.0,76.1,955.0,66.4,37.9,7.0,1.40,1.02,3.15,18.7,58.9,6.12,< 0.01,0.12,90.0,9.28,0.72,78.0,9.04,3.19,1.33,4.65,3.75,8.63,15.52691,-16.38801,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.93,64.4,62.9,84.4,437.0,62.8,25.5,4.43,0.84,0.45,2.10,17.8,49.7,3.88,0.01,0.15,90.0,8.92,1.08,56.3,13.5,5.58,1.99,5.54,17.1,4.18,15.52691,-16.38801,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.9,23.6,12.5,57.3,111.0,26.0,5.09,2.38,0.25,0.16,0.67,11.9,31.2,1.27,< 0.01,0.085,95.0,4.28,0.72,43.7,17.1,11.6,4.07,5.6,18.0,2.56,15.52724,-16.38913,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.76,20.1,10.4,52.6,109.0,24.9,4.1,2.4,< 0.20,0.14,0.77,13.8,30.1,1.32,< 0.01,0.071,95.0,4.28,0.72,41.4,15.8,10.2,4.55,5.88,22.2,2.63,15.52724,-16.38913,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.21,19.0,6.29,16.6,134.0,35.5,9.97,4.1,< 0.20,0.099,0.38,12.6,47.2,1.96,< 0.01,0.12,93.9,5.0,1.08,34.2,15.1,2.17,2.8,6.98,38.7,2.26,15.37867,-16.49963,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.77,21.3,6.04,28.4,158.0,34.8,9.32,3.81,0.41,0.10,2.46,12.5,32.6,1.67,0.01,0.14,93.9,5.0,1.08,47.3,17.4,4.36,3.25,5.86,21.9,2.72,15.37867,-16.49963,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.45,9.7,9.32,15.2,107.0,29.3,5.16,3.82,0.22,0.17,0.30,8.07,34.2,1.38,< 0.01,0.12,93.9,5.0,1.08,38.9,17.7,2.83,2.55,6.5,31.5,2.19,15.36299,-16.51328,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.7,18.1,5.32,5.94,119.0,29.3,7.35,2.97,< 0.20,0.095,0.77,7.51,21.3,1.27,< 0.01,0.12,93.9,5.0,1.08,47.0,19.3,1.2,2.58,6.0,24.0,2.44,15.36299,-16.51328,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.38,8.3,2.67,58.4,106.0,31.7,7.26,4.94,0.23,0.21,0.29,17.3,41.3,1.71,< 0.01,0.11,85.5,12.1,2.46,31.1,15.5,8.78,4.41,6.64,33.6,2.01,15.35267,-16.50226,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.66,14.6,4.14,0.96,148.0,40.2,9.48,3.19,0.24,0.15,0.49,17.3,33.5,1.68,0.02,0.19,88.4,9.39,2.23,44.1,20.0,0.15,4.48,6.08,25.2,2.21,15.35267,-16.50226,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.01,17.4,7.58,43.4,173.0,46.5,13.3,4.21,< 0.20,0.21,0.50,11.5,40.6,1.77,0.011,0.15,84.8,12.7,2.51,48.8,21.9,6.28,2.82,5.38,14.8,2.23,15.5201,-16.39482,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.41,47.3,8.73,62.1,204.0,51.1,17.8,4.66,0.20,0.25,1.14,10.8,37.4,1.92,0.015,0.2,72.3,25.1,2.68,53.2,22.2,8.3,2.45,4.99,8.85,2.4,15.5201,-16.39482,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.17,7.3,5.28,15.6,86.6,20.4,4.14,4.58,0.26,0.19,0.47,8.96,38.4,1.29,0.017,0.16,93.9,5.0,1.08,33.7,13.2,3.11,3.03,7.06,39.9,2.55,15.52163,-16.40472,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.53,8.6,6.36,23.3,108.0,25.2,6.92,3.87,0.22,0.17,0.31,10.2,33.0,1.32,0.019,0.18,93.9,4.64,1.44,40.8,15.9,4.52,3.35,6.34,29.1,2.57,15.52163,-16.40472,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.64,10.6,2.76,36.1,162.0,46.6,15.5,4.8,0.56,0.19,0.48,20.3,35.5,2.03,< 0.01,0.11,93.9,5.0,1.08,40.0,19.2,4.57,4.36,6.12,25.8,2.09,15.52097,-16.40209,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.03,21.0,3.43,27.4,186.0,46.6,16.8,4.33,0.23,0.21,0.42,11.2,34.9,1.79,< 0.01,0.13,93.9,5.0,1.08,51.8,21.6,3.92,2.71,5.34,14.6,2.39,15.52097,-16.40209,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.71,8.1,4.6,10.7,147.0,31.6,9.12,3.97,0.26,< 0.02,0.89,6.84,30.7,1.5,0.02,0.2,93.9,5.72,0.36,49.0,17.5,1.83,1.98,5.98,23.7,2.79,15.53404,-16.38172,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.93,12.9,4.43,24.0,212.0,48.6,15.7,4.59,0.35,0.033,1.14,11.9,28.8,2.04,0.011,0.14,93.9,5.72,0.36,52.0,19.9,3.02,2.54,5.54,17.1,2.62,15.53404,-16.38172,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.63,8.9,3.66,75.2,196.0,53.7,9.24,5.41,0.26,0.049,0.81,18.6,40.9,2.51,< 0.01,0.12,95.4,4.28,0.36,39.0,17.8,7.68,3.22,6.14,26.1,2.19,15.53151,-16.39506,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.96,19.5,4.02,30.4,231.0,59.4,11.9,5.07,0.27,0.021,0.70,19.5,34.3,2.31,< 0.01,0.13,95.4,4.28,0.36,49.9,21.4,3.37,3.66,5.48,16.2,2.33,15.53151,-16.39506,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.84,45.5,36.5,81.5,180.0,46.4,8.07,5.22,0.32,0.24,1.22,17.0,40.8,2.11,0.014,0.17,95.4,4.28,0.36,42.7,18.3,9.92,3.51,5.72,19.8,2.33,15.26055,-16.53775,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.24,24.2,21.4,60.9,84.5,23.1,4.97,4.1,0.32,0.20,0.60,9.28,39.6,1.47,0.012,0.14,94.6,4.28,1.08,28.8,13.1,10.6,2.75,6.92,37.8,2.19,15.26055,-16.53775,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.55,15.3,8.34,92.6,209.0,45.9,11.2,3.01,0.33,0.17,0.44,16.2,46.7,2.66,< 0.01,0.09,94.6,4.28,1.08,39.3,14.4,8.92,2.65,6.3,28.5,2.73,15.26436,-16.53333,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.68,18.9,12.4,63.7,175.0,36.8,12.6,3.71,0.29,0.33,2.83,15.5,41.2,2.04,0.011,0.11,94.6,4.28,1.08,43.0,15.1,8.02,3.31,6.04,24.6,2.85,15.26436,-16.53333,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.37,12.3,7.83,56.9,103.0,24.3,5.68,3.39,0.26,0.17,0.43,12.7,40.8,1.55,< 0.01,0.096,95.0,3.92,1.08,33.3,13.1,9.44,3.57,6.66,33.9,2.54,15.26381,-16.53264,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.68,20.4,9.15,64.6,116.0,26.1,6.56,3.11,0.23,0.15,0.64,16.6,27.3,1.49,< 0.01,0.12,95.4,3.56,1.08,38.9,14.6,11.1,4.84,6.04,24.6,2.67,15.26381,-16.53264,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.22,22.0,21.1,72.3,128.0,37.3,6.52,5.63,0.33,0.19,0.63,13.2,42.0,2.18,0.013,0.14,95.0,3.92,1.08,29.3,14.2,8.49,2.63,6.96,38.4,2.06,15.25584,-16.54261,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
