DateCreated_GMT,LandUse,Grazed,GrazingAnimals,Flooding,Slope,SlopeShape,BedrockDepth,RockFragments0-1cm,Texture0-1cm,SoilColor0_1cm_rgb,RockFragments1-10cm,Texture1-10cm,SoilColor1_10cm_rgb,RockFragments10-20cm,Texture10-20cm,SoilColor10_20cm_rgb,RockFragments20-50cm,Texture20-50cm,SoilColor20_50cm_rgb,RockFragments50-70cm,Texture50-70cm,SoilColor50_70cm_rgb,RockFragments70-100cm,Texture70-100cm,SoilColor70_100cm_rgb,RockFragments100-120cm,Texture100-120cm,SoilColor100_120cm_rgb,VerticalCracking,SurfaceSalt,DepthToLimitingLayer,WaterTableDepth,LimeRequired,SurfaceRockCover,LCC_Class,PhotoSoilPit_url,PhotoSoilSample_url,PhotoLandscapeNorth_url,PhotoLandscapeEast_url,PhotoLandscapeSouth_url,PhotoLandscapeWest_url,Elevation_m,FAOGrowingPeriodLength_days,AridityIndex,Notes,LocationRanKEDSoil,Region,Texture,Recommandation
44981.0,0.3229166666666666,GRASSLAND,TRUE,"CATTLE,GOAT,HORSE,SHEEP",Rare,flat,0-2%,",LINEAR",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,yield,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44981.0,0.3229166666666666,GRASSLAND,TRUE,"CATTLE,GOAT,HORSE,SHEEP",Rare,flat,0-2%,",LINEAR",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,yield,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44981.0,0.4652777777777777,GRASSLAND,TRUE,"CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,"LINEAR,",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,>90%,8s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,yield,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44981.0,0.4652777777777777,GRASSLAND,TRUE,"CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,"LINEAR,",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,>90%,8s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,yield,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44981.0,0.4631944444444444,SAVANNA,TRUE,"CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,",LINEAR",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,15,to,0.5,5s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,Better,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44981.0,0.4631944444444444,SAVANNA,TRUE,"CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,",LINEAR",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,15,to,0.5,5s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,Better,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44981.0,0.4895833333333333,SAVANNA,TRUE,"CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,",LINEAR",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Better,yield,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44981.0,0.4895833333333333,SAVANNA,TRUE,"CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,",LINEAR",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Better,yield,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44981.0,0.5145833333333332,SAVANNA,TRUE,"CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,",LINEAR",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,Worse,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44981.0,0.5145833333333332,SAVANNA,TRUE,"CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,",LINEAR",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,Worse,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44981.0,0.513888888888889,SAVANNA,TRUE,"CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,",LINEAR",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,15,to,0.5,5s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,Worse,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44981.0,0.513888888888889,SAVANNA,TRUE,"CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,",LINEAR",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,15,to,0.5,5s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,Worse,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44981.0,0.5854166666666667,TREE,TRUE,"CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,"LINEAR,",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,15,to,0.5,5s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,Worse,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44981.0,0.5854166666666667,TREE,TRUE,"CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,"LINEAR,",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,15,to,0.5,5s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,Worse,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44981.0,0.6819444444444444,SAVANNA,TRUE,"CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,"LINEAR,",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,15,to,0.5,5s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,Worse,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44981.0,0.6819444444444444,SAVANNA,TRUE,"CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,"LINEAR,",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,15,to,0.5,5s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,Worse,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44981.0,0.7506944444444444,TREE,TRUE,",CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,",LINEAR",SAND,SAND,SAND,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Better,yield,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44981.0,0.7506944444444444,TREE,TRUE,",CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,",LINEAR",SAND,SAND,SAND,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Better,yield,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44982.0,0.2666666666666666,SAVANNA,TRUE,"CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,",LINEAR",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,Better,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44982.0,0.2666666666666666,SAVANNA,TRUE,"CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,",LINEAR",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,Better,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44982.0,0.2659722222222222,TREE,TRUE,",CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,",LINEAR",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,Worse,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44982.0,0.2659722222222222,TREE,TRUE,",CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,",LINEAR",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,Worse,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44982.0,0.2666666666666666,TREE,TRUE,"CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,",LINEAR",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,Better,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44982.0,0.2666666666666666,TREE,TRUE,"CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,",LINEAR",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,Better,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44982.0,0.2666666666666666,TREE,TRUE,"CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,",LINEAR",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,Worse,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44982.0,0.2666666666666666,TREE,TRUE,"CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,",LINEAR",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,Worse,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44982.0,0.2659722222222222,TREE,TRUE,"CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,",LINEAR",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,Worse,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44982.0,0.2659722222222222,TREE,TRUE,"CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,",LINEAR",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,Worse,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44981.0,0.4847222222222222,GRASSLAND,TRUE,",CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,gentle,3-5%,",LINEAR",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,15,to,0.5,5s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,yield,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44981.0,0.4847222222222222,GRASSLAND,TRUE,",CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,gentle,3-5%,",LINEAR",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,15,to,0.5,5s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,yield,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44981.0,0.547222222222222,GRASSLAND,TRUE,",CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,",LINEAR",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,yield,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44981.0,0.547222222222222,GRASSLAND,TRUE,",CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,",LINEAR",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,yield,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44981.0,0.625,GRASSLAND,TRUE,",CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,"LINEAR,",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,yield,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44981.0,0.625,GRASSLAND,TRUE,",CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,"LINEAR,",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,yield,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44981.0,0.6916666666666667,GRASSLAND,TRUE,",CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,",LINEAR",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,yield,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44981.0,0.6916666666666667,GRASSLAND,TRUE,",CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,",LINEAR",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,yield,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44981.0,0.7388888888888889,GRASSLAND,TRUE,"CATTLE,GOAT,HORSE,PIG,SHEEP",Rare,to,Occasional,gentle,3-5%,"LINEAR,",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,yield,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44981.0,0.7388888888888889,GRASSLAND,TRUE,"CATTLE,GOAT,HORSE,PIG,SHEEP",Rare,to,Occasional,gentle,3-5%,"LINEAR,",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,yield,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44981.0,0.7395833333333333,GRASSLAND,TRUE,",CATTLE,GOAT,HORSE,PIG,SHEEP",Rare,to,Occasional,flat,0-2%,"LINEAR,",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,yield,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44981.0,0.7395833333333333,GRASSLAND,TRUE,",CATTLE,GOAT,HORSE,PIG,SHEEP",Rare,to,Occasional,flat,0-2%,"LINEAR,",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,yield,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44981.0,0.7874999999999999,GRASSLAND,TRUE,",CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,"LINEAR,",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,yield,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44981.0,0.7874999999999999,GRASSLAND,TRUE,",CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,"LINEAR,",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,yield,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
